"Item","List","Prompt"
1,1,"Karen gefiel Herbert."
1,2,"Karen gefiel Herbert."
1,3,"Herbert gefiel Karen."
1,4,"Herbert gefiel Karen."
2,1,"Adam beunruhigte Lydia."
2,2,"Adam beunruhigte Lydia."
2,3,"Lydia beunruhigte Adam."
2,4,"Lydia beunruhigte Adam."
3,1,"Heike ermunterte Achmed."
3,2,"Heike ermunterte Achmed."
3,3,"Achmed ermunterte Heike."
3,4,"Achmed ermunterte Heike."
1,5,"Karen gefiel Herbert, weil"
1,6,"Karen gefiel Herbert, weil"
1,7,"Herbert gefiel Karen, weil"
1,8,"Herbert gefiel Karen, weil"
2,5,"Adam beunruhigte Lydia, weil"
2,6,"Adam beunruhigte Lydia, weil"
2,7,"Lydia beunruhigte Adam, weil"
2,8,"Lydia beunruhigte Adam, weil"
3,5,"Heike ermunterte Achmed, weil"
3,6,"Heike ermunterte Achmed, weil"
3,7,"Achmed ermunterte Heike, weil"
3,8,"Achmed ermunterte Heike, weil"
