"VerbNo","Item","Verb","GenderNP1","GenderNP2","Block","Condition","List","Connective","Prompt"
"se-01",1,"schockieren","f","m","non-creative",1,1,"punkt","Johanna schockierte Lars."
"se-01",1,"schockieren","m","f","non-creative",2,2,"punkt","Lars schockierte Johanna."
"es-01",1,"verachten","f","m","non-creative",3,3,"punkt","Johanna verachtete Lars."
"es-01",1,"verachten","m","f","non-creative",4,4,"punkt","Lars verachtete Johanna."
"se-01",1,"schockieren","f","m","creative",5,4,"punkt","Johanna schockierte Lars."
"se-01",1,"schockieren","m","f","creative",6,3,"punkt","Lars schockierte Johanna."
"es-01",1,"verachten","f","m","creative",7,2,"punkt","Johanna verachtete Lars."
"es-01",1,"verachten","m","f","creative",8,1,"punkt","Lars verachtete Johanna."
"se-02",2,"faszinieren","f","m","non-creative",1,4,"punkt","Anastasia faszinierte Patrick."
"se-02",2,"faszinieren","m","f","non-creative",2,1,"punkt","Patrick faszinierte Anastasia."
"es-02",2,"verehren","f","m","non-creative",3,2,"punkt","Anastasia verehrte Patrick."
"es-02",2,"verehren","m","f","non-creative",4,3,"punkt","Patrick verehrte Anastasia."
"se-02",2,"faszinieren","f","m","creative",5,3,"punkt","Anastasia faszinierte Patrick."
"se-02",2,"faszinieren","m","f","creative",6,2,"punkt","Patrick faszinierte Anastasia."
"es-02",2,"verehren","f","m","creative",7,1,"punkt","Anastasia verehrte Patrick."
"es-02",2,"verehren","m","f","creative",8,4,"punkt","Patrick verehrte Anastasia."
"se-03",3,"enttäuschen","f","m","non-creative",1,3,"punkt","Simone enttäuschte Michael."
"se-03",3,"enttäuschen","m","f","non-creative",2,4,"punkt","Michael enttäuschte Simone."
"es-03",3,"verabscheuen","f","m","non-creative",3,1,"punkt","Simone verabscheute Michael."
"es-03",3,"verabscheuen","m","f","non-creative",4,2,"punkt","Michael verabscheute Simone."
"se-03",3,"enttäuschen","f","m","creative",5,2,"punkt","Simone enttäuschte Michael."
"se-03",3,"enttäuschen","m","f","creative",6,1,"punkt","Michael enttäuschte Simone."
"es-03",3,"verabscheuen","f","m","creative",7,4,"punkt","Simone verabscheute Michael."
"es-03",3,"verabscheuen","m","f","creative",8,3,"punkt","Michael verabscheute Simone."
"se-04",4,"inspirieren","f","m","non-creative",1,2,"punkt","Saskia inspirierte Kevin."
"se-04",4,"inspirieren","m","f","non-creative",2,3,"punkt","Kevin inspirierte Saskia."
"es-04",4,"respektieren","f","m","non-creative",3,4,"punkt","Saskia respektierte Kevin."
"es-04",4,"respektieren","m","f","non-creative",4,1,"punkt","Kevin respektierte Saskia."
"se-04",4,"inspirieren","f","m","creative",5,1,"punkt","Saskia inspirierte Kevin."
"se-04",4,"inspirieren","m","f","creative",6,4,"punkt","Kevin inspirierte Saskia."
"es-04",4,"respektieren","f","m","creative",7,3,"punkt","Saskia respektierte Kevin."
"es-04",4,"respektieren","m","f","creative",8,2,"punkt","Kevin respektierte Saskia."
"se-05",5,"bezaubern","f","m","non-creative",1,1,"punkt","Martha bezauberte Tim."
